x3,y3,x2,y2,x1,y1
0.6059,8.7929,0.3412,4.4387,0.6246,4.4387
0.5932,8.4821,0.2323,4.6662,0.6458,4.6662
0.4233,9.7688,0.4131,5.0332,0.5858,5.0332
0.4915,8.8874,0.2438,4.5489,0.729,4.5489
0.6813,11.0542,0.4612,0.9595,0.6573,0.9595
0.6887,8.7902,0.2672,5.149,0.6387,5.149
0.6871,11.4949,0.3751,5.2104,0.7063,5.2104
0.6828,11.0087,0.3473,6.1839,0.6637,6.1839
0.427,12.5656,0.0773,4.9633,0.4754,4.9633
0.658066666667,8.2326,0.0635,5.304,0.7336,5.304
0.5,12.5877,0.0493,7.1473,0.6523,7.1473
0.6314,11.7138,0.515,4.0332,0.7455,4.0332
0.6154,11.8143,0.0837,8.2966,0.5018,8.2966
0.3699,12.131,0.2405,6.8013,0.9704,6.8013
0.4285,12.9045,0.4098,1.0267,0.6775,1.0267
0.6345,11.0129,0.4696,2.623,0.5861,2.623
0.5653,11.8907,0.0641,3.2225,0.6923,3.2225
0.7466,12.7123,0.3336,3.9307,0.5415,3.9307
0.7311,9.8668,0.3075,5.9151,0.6999,5.9151
0.6243,9.887,0.2472,5.9624,0.557,5.9624
0.3369,9.4358,0.3624,5.3915,0.5429,5.3915
0.5431,8.4254,0.0471,3.1738,0.6574,3.1738
0.6425,11.7669,0.6317,0.4979,0.7016,0.4979
0.66,10.1147,0.1204,8.1273,0.3529,8.1273
0.6268,10.371,0.2595,6.3894,0.4879,6.3894
0.717,11.8133,0.2484,6.6552,0.5119,6.6552
0.711066666667,9.5788,0.0518,4.3797,0.6399,4.3797
0.6692,11.811,0.4772,5.0123,0.614,5.0123
0.7028,13.4792,0.4599,4.8211,0.6643,4.8211
0.5881,11.3923,0.0465,2.0936,0.6841,2.0936
0.4052,13.1984,0.4732,3.311,0.578,3.311
0.7847,12.2047,0.2282,7.4719,0.4648,7.4719
0.8148,9.98,0.3435,3.1259,0.6383,3.1259
0.5464,12.8709,0.0883,7.9802,0.4496,7.9802
0.7254,9.9196,0.2276,5.9836,0.6716,5.9836
0.5773,11.489,0.1691,5.2857,0.4685,5.2857
0.6788,11.4333,0.2971,7.2112,0.5444,7.2112
0.7505,10.9035,0.1531,7.3782,0.7742,7.3782
0.4656,12.153,0.3114,3.1477,0.6887,3.1477
0.5689,10.5259,0.2224,4.9684,0.6401,4.9684
0.5629,11.6963,0.6626,3.7702,0.6973,3.7702
0.3931,9.3054,0.5063,3.38,0.7734,3.38
0.5282,11.4371,0.3086,7.8147,0.4825,7.8147
0.6355,12.5069,0.459,4.3573,0.5716,4.3573
0.6022,10.5214,0.312,3.9941,0.672,3.9941
0.7027,12.3509,0.334,6.0974,0.5588,6.0974
0.6809,10.7713,0.4573,2.3237,0.618,2.3237
0.6031,7.5193,0.1667,2.3898,0.6633,2.3898
0.2347,7.1589,0.1227,1.902,0.8003,1.902
0.6038,12.2455,0.3498,3.3087,0.5485,3.3087
0.6638,10.2081,0.4091,3.0188,0.8055,3.0188
0.3276,8.921,0.4061,3.9171,0.5788,3.9171
0.6627,11.247,0.0638,8.2512,0.5348,8.2512
0.6549,11.4347,0.0674,5.3384,0.5957,5.3384
0.6192,10.7277,0.1829,2.7874,0.7625,2.7874
0.511,9.7039,0.1873,6.1521,0.5228,6.1521
0.6215,10.6527,0.0492,1.5317,0.4928,1.5317
0.543733333333,9.8282,0.4127,4.8528,0.5085,4.8528
0.3911,6.1951,0.3047,3.2682,0.6611,3.2682
0.6957,8.678,0.3498,6.3204,0.4882,6.3204
0.7223,10.5026,0.3619,6.809,0.504,6.809
0.5137,10.1209,0.0441,6.8214,0.6802,6.8214
0.6949,8.1492,0.4393,4.3375,0.7463,4.3375
0.735,8.968,0.2125,8.4832,0.4266,8.4832
0.4427,8.0397,0.2138,8.0116,0.3353,8.0116
0.5328,13.3407,0.343,5.5979,0.5867,5.5979
0.5845,12.6284,0.1869,2.5602,0.8131,2.5602
0.7583,12.6982,0.4093,5.3217,0.5859,5.3217
0.593,11.467,0.4532,4.5109,0.7462,4.5109
0.8358,10.8759,0.236,4.5679,0.6341,4.5679
0.6978,9.3996,0.0766,6.7581,0.5056,6.7581
0.5316,10.7002,0.3486,4.3724,0.5629,4.3724
0.4448,9.7797,0.0727,6.9605,0.5434,6.9605
0.5435,10.8383,0.506,3.168,0.6604,3.168
0.4876,7.91,0.58395,1.2674,0.66485,1.2674
0.7647,8.547,0.2684,4.0477,0.4699,4.0477
0.501,11.5835,0.2448,4.4906,0.5741,4.4906
0.7699,11.5059,0.2694,5.4351,0.6125,5.4351
0.4797,13.1503,0.1357,5.3836,0.5361,5.3836
0.4965,12.6459,0.3567,1.6226,0.7177,1.6226
0.6775,11.5348,0.4588,1.385,0.7633,1.385
0.3456,5.9458,0.072,3.1242,0.6923,3.1242
0.6952,7.4863,0.2633,5.5944,0.6089,5.5944
0.4282,8.7371,0.0452,7.7268,0.3951,7.7268
0.6619,10.232,0.3603,3.923,0.5316,3.923
0.4407,11.3372,0.0662,6.4965,0.5378,6.4965
0.7004,10.0197,0.3009,2.615,0.6856,2.615
0.510866666667,13.1796,0.357,4.4,0.5618,4.4
0.634,10.2892,0.2916,6.9508,0.5283,6.9508
0.4414,8.8623,0.2676,6.426,0.4973,6.426
0.6424,11.2292,0.0913,6.0656,0.6689,6.0656
0.4471,11.1303,0.3439,2.8798,0.5709,2.8798
0.3766,10.5291,0.3923,6.3062,0.6691,6.3062
0.5638,11.098,0.0719,6.4975,0.7281,6.4975
0.7315,13.2775,0.0671,7.6915,0.5424,7.6915
0.4301,9.232,0.3574,2.6616,0.6801,2.6616
0.6648,9.2921,0.0996,4.3864,0.6871,4.3864
0.5232,11.2782,0.0857,4.0535,0.648,4.0535
0.6428,11.3408,0.0886,6.9972,0.6289,6.9972
0.7213,9.9002,0.0564,2.0896,0.6869,2.0896
0.5888,11.1226,0.2339,5.3849,0.5482,5.3849
0.3892,8.4052,0.2384,7.0272,0.5679,7.0272
0.3644,8.7103,0.6734,2.8305,0.6589,2.8305
0.4546,8.6734,0.3498,5.2147,0.7431,5.2147
0.5628,11.2152,0.1919,2.2732,0.7354,2.2732
0.4886,9.2813,0.2776,5.9069,0.5401,5.9069
0.5313,11.1027,0.0967,6.3435,0.5375,6.3435
0.4808,9.517,0.1757,8.1766,0.5305,8.1766
0.5113,8.472,0.1183,7.0319,0.789,7.0319
0.2234,7.4258,0.2752,4.8254,0.5829,4.8254
0.6992,10.8206,0.2635,6.9181,0.5289,6.9181
0.7312,11.2298,0.5059,5.4954,0.6528,5.4954
0.6763,12.2553,0.2591,3.6067,0.511,3.6067
0.4493,13.4616,0.4388,5.1226,0.5729,5.1226
0.6905,11.4991,0.4492,2.3491,0.6559,2.3491
0.705,11.0486,0.6409,3.0603,0.7116,3.0603
0.6898,10.3387,0.0614,8.2392,0.4732,8.2392
0.6969,10.1339,0.0723,8.3191,0.5715,8.3191
0.5246,7.9364,0.0958,3.2322,0.5545,3.2322
0.6907,10.8063,0.0783,4.4516,0.5001,4.4516
0.4029,12.6325,0.158,2.5805,0.5,2.5805
0.2783,6.6625,0.5051,3.1567,0.6348,3.1567
0.5309,11.6328,0.2175,6.4503,0.5395,6.4503
0.6912,12.1797,0.1475,7.8784,0.4947,7.8784
0.4528,9.3742,0.362,4.2402,0.5003,4.2402
0.3629,13.5666,0.1707,7.803,0.5734,7.803
0.5381,10.0149,0.2953,8.1749,0.5555,8.1749
0.5924,10.8086,0.207,1.9725,0.7025,1.9725
0.7536,12.1209,0.3911,4.2325,0.5876,4.2325
0.7368,12.547,0.1902,8.2867,0.5678,8.2867
0.6469,12.8333,0.2794,5.6791,0.6627,5.6791
0.6554,12.6926,0.3489,6.5819,0.696,6.5819
0.5442,12.1888,0.3735,5.3577,0.5768,5.3577
0.6526,12.0495,0.1584,2.6755,0.7462,2.6755
0.6432,10.3138,0.0505,5.9989,0.6703,5.9989
0.6894,9.4264,0.5018,4.7877,0.617,4.7877
0.6482,10.0366,0.5221,4.8338,0.6284,4.8338
0.3318,12.7037,0.2013,6.3064,0.6369,6.3064
0.6177,11.6867,0.4156,4.6832,0.7806,4.6832
0.7368,11.7151,0.1863,2.7952,0.7099,2.7952
0.5123,12.5873,0.0836,4.8721,0.586,4.8721
0.6748,9.2669,0.0617,5.1506,0.6149,5.1506
0.5726,10.7781,0.0845666666667,8.623,0.6925,8.623
0.449,9.6868,0.0767,8.0242,0.5793,8.0242
0.5457,11.7435,0.1212,5.3874,0.6608,5.3874
0.3212,6.9379,0.6341,3.5983,0.8019,3.5983
0.5935,11.6801,0.1282,4.5521,0.4909,4.5521
0.6473,12.3079,0.168,9.7299,0.5174,9.7299
0.8223,6.6261,0.5063,5.1015,0.6393,5.1015
0.7166,11.5421,0.4751,1.8972,0.6365,1.8972
0.7643,11.5596,0.0604,6.8202,0.6262,6.8202
0.5435,10.6336,0.3264,4.9315,0.5174,4.9315
0.8389,12.1288,0.3738,6.1169,0.5704,6.1169
0.6898,10.6547,0.4257,4.0958,0.7131,4.0958
0.5605,9.3396,0.2652,5.3684,0.4956,5.3684
0.4566,9.4799,0.1364,8.0232,0.5263,8.0232
0.5809,11.1935,0.4086,3.2722,0.7989,3.2722
0.6744,10.9487,0.1187,9.6112,0.5066,9.6112
0.757,9.7814,0.2066,3.3877,0.5457,3.3877
0.6815,11.6216,0.0583,6.5445,0.7593,6.5445
0.5226,13.4674,0.0491,5.3789,0.6208,5.3789
0.6424,7.9195,0.0961,5.3125,0.7016,5.3125
0.491,11.0938,0.3084,4.3419,0.673766666667,4.3419
0.7281,10.738,0.3408,5.3396,0.5662,5.3396
0.73,10.3755,0.0666,5.9368,0.6465,5.9368
0.2619,9.2669,0.0731,5.4052,0.6487,5.4052
0.6726,10.0469,0.4373,2.9585,0.8043,2.9585
0.6105,10.6116,0.355,4.0177,0.7521,4.0177
0.6772,13.4039,0.4229,2.448,0.7309,2.448
0.4971,9.3402,0.2423,7.1412,0.6265,7.1412
0.4544,11.7757,0.0562,2.3411,0.6883,2.3411
0.6953,10.667,0.2623,5.8356,0.518666666667,5.8356
0.3602,12.7579,0.0674,8.7239,0.4493,8.7239
0.435,8.967,0.287,3.3469,0.689,3.3469
0.7558,10.9254,0.5748,3.2183,0.6688,3.2183
0.6483,8.9834,0.6338,4.9856,0.716,4.9856
0.5408,9.1792,0.6144,4.2023,0.7605,4.2023
0.7952,11.0896,0.1858,8.7027,0.6186,8.7027
0.6063,9.4265,0.3279,5.5428,0.6198,5.5428
0.5547,11.1728,0.3416,1.9919,0.6648,1.9919
0.6036,12.0129,0.244,2.794,0.6148,2.794
0.5083,12.9507,0.0511,4.2934,0.4947,4.2934
0.6918,9.0402,0.2504,4.6505,0.6336,4.6505
0.5436,11.3364,0.3452,4.6129,0.5768,4.6129
0.4545,12.4825,0.0496,7.2333,0.5923,7.2333
0.6849,9.9318,0.304,3.5841,0.7365,3.5841
0.9241,10.7852,0.0593,2.5096,0.6403,2.5096
0.3466,14.0151,0.186,4.854,0.7031,4.854
0.6123,10.5505,0.4111,4.7017,0.6481,4.7017
0.6465,9.943,0.5403,2.1699,0.7872,2.1699
0.3786,13.624,0.1795,7.0378,0.5913,7.0378
0.7744,9.85,0.3172,2.7031,0.6322,2.7031
0.3425,6.939,0.1188,3.2109,0.6817,3.2109
0.6466,10.6213,0.3123,5.1912,0.8344,5.1912
0.6619,10.883,0.0515,4.7493,0.444,4.7493
0.5644,9.6705,0.5011,6.1258,0.6481,6.1258
0.5353,12.6774,0.7018,2.714,0.7441,2.714
0.6067,11.0906,0.266,4.8714,0.6202,4.8714
0.7149,12.1923,0.3424,6.7143,0.5703,6.7143
0.5945,10.7763,0.4782,3.0822,0.6281,3.0822
0.6602,10.6966,0.0507,6.7278,0.5349,6.7278
0.6823,11.7789,0.3973,3.4516,0.5456,3.4516
0.6553,11.0606,0.5726,4.0727,0.7117,4.0727
0.6617,11.0076,0.3351,2.6872,0.6547,2.6872
0.4333,11.3131,0.339,3.2333,0.5509,3.2333
0.8519,12.3745,0.0642,7.7617,0.4397,7.7617
0.406,12.2582,0.0546,6.9024,0.6115,6.9024
0.3095,12.5379,0.19,3.1857,0.6187,3.1857
0.6283,9.4334,0.2264,5.0215,0.6019,5.0215
0.5027,9.7328,0.1833,5.7934,0.6921,5.7934
0.6436,8.4017,0.3281,4.8916,0.4603,4.8916
0.6269,8.0226,0.2012,6.1649,0.6124,6.1649
0.5651,10.7455,0.2935,3.4272,0.7312,3.4272
0.4054,9.6185,0.0638,4.0336,0.6061,4.0336
0.5381,10.0339,0.0790666666667,4.4788,0.682033333333,4.4788
0.5623,11.3936,0.4947,5.3654,0.63,5.3654
0.6334,8.5736,0.0804,5.7251,0.5217,5.7251
0.6725,10.287,0.2871,4.9623,0.5239,4.9623
0.5871,9.758,0.4146,5.2937,0.6273,5.2937
0.2683,12.7453,0.6313,2.8359,0.6662,2.8359
0.6728,12.007,0.463,6.0227,0.5983,6.0227
0.6708,11.3693,0.3231,2.4924,0.6381,2.4924
0.671,11.4776,0.304333333333,5.3297,0.4582,5.3297
0.4817,12.4296,0.2919,4.4433,0.4661,4.4433
0.5352,10.4361,0.0551,3.2138,0.6688,3.2138
0.4599,9.3251,0.1089,7.6924,0.6009,7.6924
0.6496,11.8349,0.303,8.6126,0.5537,8.6126
0.6219,9.763,0.0755,5.3078,0.7187,5.3078
0.5577,10.5175,0.4706,5.0748,0.6931,5.0748
0.6776,9.3241,0.3439,5.2312,0.5766,5.2312
0.6962,9.5707,0.408,2.7451,0.7885,2.7451
0.414766666667,7.5214,0.1392,8.6982,0.652,8.6982
0.4358,7.3137,0.289,4.9144,0.7191,4.9144
0.4449,12.3297,0.2831,4.9123,0.7587,4.9123
0.7072,10.3887,0.5829,3.0314,0.7035,3.0314
0.6427,10.9985,0.0859,8.5864,0.4827,8.5864
0.5577,12.6589,0.2126,4.3528,0.5829,4.3528
0.565,11.09,0.4509,3.0524,0.5762,3.0524
0.7365,9.9416,0.1006,4.5779,0.6322,4.5779
0.4589,14.123,0.3199,3.4634,0.5156,3.4634
0.3335,13.256,0.0614,4.0906,0.5404,4.0906
0.6458,11.7441,0.0812,6.5569,0.6722,6.5569
0.6137,11.484,0.2848,4.104,0.6346,4.104
0.6514,9.0608,0.3653,2.9567,0.6678,2.9567
0.511,12.4257,0.4457,5.7529,0.6458,5.7529
0.5721,12.2052,0.3472,3.3418,0.5496,3.3418
0.6988,10.2451,0.5353,2.6844,0.5607,2.6844
0.4506,7.959,0.3041,5.3123,0.6877,5.3123
0.4071,8.4029,0.4555,5.4245,0.5565,5.4245
0.49,9.2027,0.2692,4.259,0.7043,4.259
0.509,13.6355,0.0609,4.4157,0.4179,4.4157
0.67,8.8446,0.1353,6.0362,0.5892,6.0362
0.6717,9.4747,0.307,6.8415,0.479,6.8415
0.5899,11.3217,0.4065,6.6836,0.5212,6.6836
0.5734,8.7232,0.1795,2.213,0.6751,2.213
0.3458,5.3891,0.0672,5.5675,0.6797,5.5675
0.3756,11.606,0.3386,3.0597,0.7588,3.0597
0.4903,12.7789,0.0773,7.9947,0.6537,7.9947
0.8201,12.6162,0.5142,3.3818,0.723,3.3818
0.4204,9.7766,0.5322,3.2701,0.6353,3.2701
0.2949,13.4925,0.487,2.7125,0.6794,2.7125
0.7698,11.0599,0.0715,3.2055,0.7251,3.2055
